"ESTADO";"$";"ABRE_C";"ABRE_P";"ATRIB";"DIFERENTE";"DIV";"ECHO";"ELSE";"FECHA_C";"FECHA_P";"FLOATVAL";"FUNCTION";"IDENT";"IF";"IGUAL";"MAIOR";"MAIOR_IGUAL";"MENOR";"MENOR_IGUAL";"MULT";"NUMERO_REAL";"PHP_CLOSE";"PHP_EOL;";"PHP_OPEN";"PONTO";"PV";"SOMA";"SUB";"VAR";"VIRG";"WHILE"
"41";"";"";"";"";"r53";"r53";"";"";"";"r53";"";"";"";"";"r53";"r53";"r53";"r53";"r53";"r53";"";"";"";"";"";"r53";"r53";"r53";"";"r53";""
"42";"";"";"";"";"r53";"r53";"";"";"";"r53";"";"";"";"";"r53";"r53";"r53";"r53";"r53";"r53";"";"";"";"";"";"r53";"r53";"r53";"";"r53";""
"43";"";"";"";"";"";"";"";"";"";"";"s38";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"s40";"";"";""
"44";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"s40";"";"";""
"45";"";"";"r44";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"r44";"";"";"";"";"";"";"r44";"r44";"";""
"46";"";"";"r44";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"r44";"";"";"";"";"";"";"r44";"r44";"";""
"47";"";"";"s43";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"s42";"";"";"";"";"";"";"";"s41";"";""
"48";"";"";"r51";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"r51";"";"";"";"";"";"";"";"r51";"";""
"49";"";"";"r51";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"r51";"";"";"";"";"";"";"";"r51";"";""
"50";"";"s78";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"51";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"s79";"";"";"";"";"";"";"";"";""
"52";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"r2";"";"";"";"";"";"";"";"";""
"53";"";"";"";"";"";"";"r3";"";"";"";"";"";"";"r3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"r3";"";"r3"
"54";"";"";"";"";"";"";"r8";"";"";"";"";"r8";"";"r8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"r8";"";"r8"
"55";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"s80";"";"";"";"";""
