"ESTADO";"<ARGUMENTOS>";"<ATRIBUICAO_OPCIONAL>";"<COMANDO>";"<COMANDOS>";"<CONDICAO>";"<CORPO>";"<CORPO_F>";"<DC>";"<DC_F>";"<DC_LOC>";"<DC_V>";"<EXPRESSAO>";"<FATOR>";"<LISTA_ARG>";"<LISTA_PAR>";"<MAIS_COMANDOS>";"<MAIS_DC>";"<MAIS_DCLOC>";"<MAIS_FATORES>";"<MAIS_IDENT>";"<MAIS_PAR>";"<OP_AD>";"<OP_MUL>";"<OP_UN>";"<OUTROS_TERMOS>";"<PARAMETROS>";"<PFALSA>";"<PROGRAMA>";"<RELACAO>";"<RESTOIDENT>";"<TERMO>"
"43";"";"";"";"";"";"";"";"";"";"";"";"75";"";"";"";"";"";"";"";"";"";"";"";"39";"";"";"";"";"";"";"37"
"44";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"39";"";"";"";"";"";"";"76"
"45";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"49";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"50";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"51";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"52";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"53";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"54";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"55";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"56";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"81";"";"";"";"";""
"57";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"58";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"59";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"60";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"83";"";"";"";"";"";"";"";"";"";""
"61";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"62";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"63";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"64";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"65";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"85";"";"";"";"";"";"";"";"";"";"";""
"66";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"67";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"68";"";"";"";"";"87";"";"";"";"";"";"";"30";"";"";"";"";"";"";"";"";"";"";"";"39";"";"";"";"";"";"";"37"
"69";"";"";"";"";"88";"";"";"";"";"";"";"30";"";"";"";"";"";"";"";"";"";"";"";"39";"";"";"";"";"";"";"37"
"70";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"71";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"72";"";"";"";"";"";"";"";"";"";"";"";"90";"";"";"";"";"";"";"";"";"";"";"";"39";"";"";"";"";"";"";"37"
"73";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
